episodio;total_cost;total_co2;SOC_finale;battery_use_history;gen_use_history
69;4658.0924;6139.817;0.1672245239787726;0.832741210379758;10466024.309;2019126.583,
70;4689.8120;6145.881;0.16726446566750935;0.8327293278472148;10466677.104;2102962.098,
71;4662.8197;6136.067;0.16745787543769874;0.8327384578658625;10465882.605;2008710.723,
72;4536.4333;6107.466;0.1673182638570327;0.832718182065207;10467266.553;1696627.537,
73;4548.1457;6113.345;0.16717951634445502;0.8327369774873701;10466325.981;1739131.209,
74;4534.3685;6108.101;0.1672725115803262;0.8327355442434147;10466297.401;1705243.608,
75;4563.9019;6113.068;0.1674193672088285;0.8327213607691842;10466950.779;1769770.463,
76;4504.6110;6099.417;0.16723952553559632;0.8327157620092293;10467522.660;1629653.331,
77;4560.7632;6108.214;0.16723349085366923;0.8327142067762877;10467629.863;1745525.058,
78;4618.8251;6129.832;0.16732572857982803;0.832704699878244;10468070.109;1959878.728,
79;4636.5497;6132.200;0.1672557239631573;0.8326875111923268;10469181.118;1984589.370,
80;4607.3720;6124.159;0.16729193837763312;0.832695780051013;10468642.351;1892980.223,
81;4619.6418;6135.973;0.16739209075238806;0.8327111074405191;10467597.619;1975802.540,
82;4669.4897;6142.853;0.16747562317829134;0.8326999639473937;10468164.551;2072556.088,
83;4644.1210;6132.288;0.16735068602606457;0.8326800251746628;10469516.201;1979821.471,
84;4695.3229;6143.566;0.16749799640685925;0.8326914718347131;10468639.711;2105240.526,
85;4699.1714;6144.809;0.16733518021532393;0.8326817677659375;10469430.464;2111050.365,
86;4756.4107;6168.247;0.16730677283120793;0.8326829027518421;10469403.025;2320656.401,
87;4749.3271;6158.859;0.16718980751952903;0.8326802136495705;10469713.127;2247144.040,
88;4745.7023;6158.944;0.16740479016455148;0.8326865389328554;10469058.235;2255483.538,
89;4648.9843;6138.799;0.16720794433520625;0.8326712275856678;10470222.889;2022720.380,
90;4638.9348;6138.289;0.1671802670037044;0.8326688089957884;10470402.560;2024571.909,
91;4659.7868;6143.544;0.16724597435193406;0.8326721028845828;10470123.714;2080031.482,
92;4715.8924;6152.668;0.16722615736009228;0.8326720348517058;10470154.411;2187443.222,
