time,power
2020-05-05 16:54:00+00:00,2450.0
2020-05-05 16:54:20+00:00,3820.0
2020-05-05 16:54:40+00:00,3720.0
2020-05-05 16:55:00+00:00,2430.0
2020-05-05 16:55:20+00:00,1280.0
2020-05-05 16:55:40+00:00,3700.0
2020-05-05 16:56:00+00:00,3800.0
2020-05-05 16:56:20+00:00,2500.0
2020-05-05 16:56:40+00:00,3760.0
2020-05-05 16:57:00+00:00,1170.0
2020-05-05 16:57:20+00:00,2450.0
2020-05-05 16:57:40+00:00,3680.0
2020-05-05 16:58:00+00:00,3720.0
2020-05-05 16:58:20+00:00,2440.0
2020-05-05 16:58:40+00:00,1250.0
2020-05-05 16:59:00+00:00,3620.0
2020-05-05 16:59:20+00:00,3770.0
2020-05-05 16:59:40+00:00,3620.0
2020-05-05 17:00:00+00:00,0.0
2020-05-05 17:00:20+00:00,3700.0
2020-05-05 17:00:40+00:00,3770.0
2020-05-05 17:01:00+00:00,3780.0
2020-05-05 17:01:20+00:00,1190.0
2020-05-05 17:01:40+00:00,2650.0
2020-05-05 17:02:00+00:00,3670.0
2020-05-05 17:02:20+00:00,3700.0
2020-05-05 17:02:40+00:00,2410.0
2020-05-05 17:03:00+00:00,2440.0
2020-05-05 17:03:20+00:00,1970.0
2020-05-05 17:03:40+00:00,2490.0
2020-05-05 17:04:00+00:00,3620.0
2020-05-05 17:04:20+00:00,2380.0
2020-05-05 17:04:40+00:00,2510.0
2020-05-05 17:05:00+00:00,2360.0
2020-05-05 17:05:20+00:00,3610.0
2020-05-05 17:05:40+00:00,3830.0
2020-05-05 17:06:00+00:00,2410.0
2020-05-05 17:06:20+00:00,1320.0
2020-05-05 17:06:40+00:00,3670.0
2020-05-05 17:07:00+00:00,3690.0
2020-05-05 17:07:20+00:00,2410.0
2020-05-05 17:07:40+00:00,2380.0
2020-05-05 17:08:00+00:00,2600.0
2020-05-05 17:08:20+00:00,3760.0
2020-05-05 17:08:40+00:00,2460.0
2020-05-05 17:09:00+00:00,2420.0
2020-05-05 17:09:20+00:00,2460.0
2020-05-05 17:09:40+00:00,3720.0
2020-05-05 17:10:00+00:00,2430.0
2020-05-05 17:10:20+00:00,2480.0
2020-05-05 17:10:40+00:00,3750.0
2020-05-05 17:11:00+00:00,2480.0
2020-05-05 17:11:20+00:00,2490.0
2020-05-05 17:11:40+00:00,3710.0
2020-05-05 17:12:00+00:00,2440.0
2020-05-05 17:12:20+00:00,3720.0
2020-05-05 17:12:40+00:00,1320.0
2020-05-05 17:13:00+00:00,3660.0
2020-05-05 17:13:20+00:00,2440.0
2020-05-05 17:13:40+00:00,3690.0
2020-05-05 17:14:00+00:00,1340.0
2020-05-05 17:14:20+00:00,3720.0
2020-05-05 17:14:40+00:00,3750.0
2020-05-05 17:15:00+00:00,1190.0
2020-05-05 17:15:20+00:00,3680.0
2020-05-05 17:15:40+00:00,2570.0
2020-05-05 17:16:00+00:00,3730.0
2020-05-05 17:16:20+00:00,2460.0
2020-05-05 17:16:40+00:00,2450.0
2020-05-05 17:17:00+00:00,3650.0
2020-05-05 17:17:20+00:00,2560.0
2020-05-05 17:17:40+00:00,2470.0
2020-05-05 17:18:00+00:00,2390.0
2020-05-05 17:18:20+00:00,3670.0
2020-05-05 17:18:40+00:00,2540.0
2020-05-05 17:19:00+00:00,2490.0
2020-05-05 17:19:20+00:00,3800.0
2020-05-05 17:19:40+00:00,2280.0
2020-05-05 17:20:00+00:00,2510.0
2020-05-05 17:20:20+00:00,2530.0
2020-05-05 17:20:40+00:00,3600.0
2020-05-05 17:21:00+00:00,2520.0
2020-05-05 17:21:20+00:00,2540.0
2020-05-05 17:21:40+00:00,3760.0
2020-05-05 17:22:00+00:00,2430.0
2020-05-05 17:22:20+00:00,3740.0
2020-05-05 17:22:40+00:00,1180.0
2020-05-05 17:23:00+00:00,3690.0
2020-05-05 17:23:20+00:00,2430.0
2020-05-05 17:23:40+00:00,3740.0
2020-05-05 17:24:00+00:00,1200.0
2020-05-05 17:24:20+00:00,3700.0
2020-05-05 17:24:40+00:00,3720.0
2020-05-05 17:25:00+00:00,2560.0
2020-05-05 17:25:20+00:00,2470.0
2020-05-05 17:25:40+00:00,2350.0
2020-05-05 17:26:00+00:00,3620.0
2020-05-05 17:26:20+00:00,2450.0
2020-05-05 17:26:40+00:00,2610.0
2020-05-05 17:27:00+00:00,2350.0
2020-05-05 17:27:20+00:00,3660.0
2020-05-05 17:27:40+00:00,2430.0
2020-05-05 17:28:00+00:00,3670.0
2020-05-05 17:28:20+00:00,2500.0
2020-05-05 17:28:40+00:00,2440.0
2020-05-05 17:29:00+00:00,2500.0
2020-05-05 17:29:20+00:00,3650.0
2020-05-05 17:29:40+00:00,2490.0
2020-05-05 17:30:00+00:00,2340.0
2020-05-05 17:30:20+00:00,2380.0
2020-05-05 17:30:40+00:00,3830.0
2020-05-05 17:31:00+00:00,3860.0
2020-05-05 17:31:20+00:00,1270.0
2020-05-05 17:31:40+00:00,2390.0
2020-05-05 17:32:00+00:00,3650.0
2020-05-05 17:32:20+00:00,3700.0
2020-05-05 17:32:40+00:00,2390.0
2020-05-05 17:33:00+00:00,2500.0
2020-05-05 17:33:20+00:00,2430.0
2020-05-05 17:33:40+00:00,3780.0
2020-05-05 17:34:00+00:00,2510.0
2020-05-05 17:34:20+00:00,2620.0
2020-05-05 17:34:40+00:00,2360.0
2020-05-05 17:35:00+00:00,3700.0
2020-05-05 17:35:20+00:00,2430.0
2020-05-05 17:35:40+00:00,3760.0
2020-05-05 17:36:00+00:00,2500.0
2020-05-05 17:36:20+00:00,2410.0
2020-05-05 17:36:40+00:00,2390.0
2020-05-05 17:37:00+00:00,3680.0
2020-05-05 17:37:20+00:00,3680.0
2020-05-05 17:37:40+00:00,0.0
2020-05-05 17:38:00+00:00,3740.0
2020-05-05 17:38:20+00:00,3720.0
2020-05-05 17:38:40+00:00,3760.0
2020-05-05 17:39:00+00:00,1310.0
2020-05-05 17:39:20+00:00,2380.0
2020-05-05 17:39:40+00:00,3590.0
2020-05-05 17:40:00+00:00,3650.0
2020-05-05 17:40:20+00:00,2510.0
2020-05-05 17:40:40+00:00,1200.0
2020-05-05 17:41:00+00:00,3710.0
2020-05-05 17:41:20+00:00,3640.0
2020-05-05 17:41:40+00:00,2430.0
2020-05-05 17:42:00+00:00,3740.0
2020-05-05 17:42:20+00:00,1190.0
2020-05-05 17:42:40+00:00,2500.0
2020-05-05 17:43:00+00:00,3720.0
2020-05-05 17:43:20+00:00,3560.0
2020-05-05 17:43:40+00:00,1310.0
2020-05-05 17:44:00+00:00,2440.0
2020-05-05 17:44:20+00:00,3710.0
2020-05-05 17:44:40+00:00,3630.0
2020-05-05 17:45:00+00:00,3760.0
2020-05-05 17:45:20+00:00,0.0
2020-05-05 17:45:40+00:00,3770.0
2020-05-05 17:46:00+00:00,3630.0
2020-05-05 17:46:20+00:00,3690.0
2020-05-05 17:46:40+00:00,1120.0
2020-05-05 17:47:00+00:00,2460.0
2020-05-05 17:47:20+00:00,3700.0
