time,load_w,renewables_w,grid_w,battery_w,generator_w,soc,curtailment_wh
2020-05-26 00:38:20+00:00,117330.0,18073.505143183036,0.0,99256.49485681698,0.0,0.4966088520116351,0.0
2020-05-26 00:38:40+00:00,112000.0,16951.143939961643,0.0,95048.85606003835,0.0,0.49643717772848484,0.0
2020-05-26 00:39:00+00:00,102610.0,15876.237580441808,0.0,86733.76241955819,0.0,0.49628051059085354,0.0
2020-05-26 00:39:20+00:00,110890.0,14847.761013112964,0.0,96042.23898688704,0.0,0.49610704047925164,0.0
2020-05-26 00:39:40+00:00,107170.0,13864.689186464562,0.0,93305.31081353546,0.0,0.4959385090768336,0.0
2020-05-26 00:40:00+00:00,119540.0,12925.997048986063,0.0,106614.00295101394,0.0,0.49574595369767493,0.0
2020-05-26 00:40:20+00:00,114460.0,12030.659549166905,0.0,102429.3404508331,0.0,0.49556095000278877,0.0
2020-05-26 00:40:40+00:00,114860.0,11177.651635496537,0.0,103682.34836450346,0.0,0.4953736828596817,0.0
2020-05-26 00:41:00+00:00,111040.0,10365.948256464419,0.0,100674.05174353559,0.0,0.4951918442059748,0.0
2020-05-26 00:41:20+00:00,115720.0,9594.524360559995,0.0,106125.47563944,0.0,0.49500016356713167,0.0
2020-05-26 00:41:40+00:00,110430.0,8862.354896272707,0.0,101567.6451037273,0.0,0.4948167085255187,0.0
2020-05-26 00:42:00+00:00,109400.0,8168.414812092017,0.0,101231.58518790799,0.0,0.4946338584566028,0.0
2020-05-26 00:42:20+00:00,104450.0,7511.679056507372,0.0,96938.32094349262,0.0,0.4944587567177967,0.0
2020-05-26 00:42:40+00:00,117580.0,6891.122578008211,0.0,110688.87742199178,0.0,0.49425883144384436,0.0
2020-05-26 00:43:00+00:00,111680.0,6305.720325083998,0.0,105374.27967491599,0.0,0.49406849802164465,0.0
2020-05-26 00:43:20+00:00,116420.0,5754.447246224174,0.0,110665.55275377583,0.0,0.4938686109971994,0.0
2020-05-26 00:43:40+00:00,103460.0,5236.278289918192,0.0,98223.72171008181,0.0,0.4936911822296077,0.0
2020-05-26 00:44:00+00:00,116970.0,4750.188404655499,0.0,112219.81159534451,0.0,0.49348848567282594,0.0
2020-05-26 00:44:20+00:00,111210.0,4295.152538925545,0.0,106914.84746107446,0.0,0.49329536389627976,0.0
2020-05-26 00:44:40+00:00,117690.0,3870.1456412177827,0.0,113819.85435878222,0.0,0.4930897748589821,0.0
2020-05-26 00:45:00+00:00,115390.0,3474.1426600216582,0.0,111915.85733997833,0.0,0.49288762100131284,0.0
2020-05-26 00:45:20+00:00,112250.0,3106.118543826623,0.0,109143.88145617337,0.0,0.4926904693985277,0.0
2020-05-26 00:45:40+00:00,113490.0,2765.0482411221265,0.0,110724.95175887787,0.0,0.4924904615253967,0.0
2020-05-26 00:46:00+00:00,120210.0,2449.9067003976093,0.0,117760.09329960239,0.0,0.4922777508057979,0.0
2020-05-26 00:46:20+00:00,102920.0,2159.6688701425383,0.0,100760.33112985746,0.0,0.49209572862729445,0.0
2020-05-26 00:46:40+00:00,114270.0,1893.3096988463553,0.0,112376.69030115365,0.0,0.49189273285560314,0.0
2020-05-26 00:47:00+00:00,102480.0,1649.804134998508,0.0,100830.19586500149,0.0,0.49171058108798943,0.0
2020-05-26 00:47:20+00:00,118220.0,1428.1271270884474,0.0,116791.87287291155,0.0,0.49149961020092775,0.0
2020-05-26 00:47:40+00:00,120490.0,1227.2536236056233,0.0,119262.74637639438,0.0,0.49128417610288083,0.0
